Date,Close
2018-06-29,56.150001525878906
2018-07-02,56.810001373291016
2018-07-03,56.54999923706055
2018-07-05,56.560001373291016
2018-07-06,56.7599983215332
2018-07-09,54.77000045776367
2018-07-10,55.0
2018-07-11,55.970001220703125
2018-07-12,55.75
2018-07-13,55.90999984741211
2018-07-16,56.0
2018-07-17,56.029998779296875
2018-07-18,55.54999923706055
2018-07-19,56.150001525878906
2018-07-20,55.709999084472656
2018-07-23,55.04999923706055
2018-07-24,54.9900016784668
2018-07-25,55.040000915527344
2018-07-26,55.47999954223633
2018-07-27,55.33000183105469
2018-07-30,55.40999984741211
2018-07-31,56.09000015258789
2018-08-01,55.599998474121094
2018-08-02,55.81999969482422
2018-08-03,56.18000030517578
2018-08-06,56.150001525878906
2018-08-07,56.619998931884766
2018-08-08,56.369998931884766
2018-08-09,57.02000045776367
2018-08-10,57.68000030517578
2018-08-13,57.61000061035156
2018-08-14,57.439998626708984
2018-08-15,57.689998626708984
2018-08-16,57.68000030517578
2018-08-17,57.869998931884766
2018-08-20,57.849998474121094
2018-08-21,57.40999984741211
2018-08-22,56.9900016784668
2018-08-23,56.939998626708984
2018-08-24,57.45000076293945
2018-08-27,56.959999084472656
2018-08-28,56.900001525878906
2018-08-29,57.11000061035156
2018-08-30,57.349998474121094
2018-08-31,57.04999923706055
2018-09-04,57.5099983215332
2018-09-05,58.52000045776367
2018-09-06,58.95000076293945
2018-09-07,58.29999923706055
2018-09-10,58.47999954223633
2018-09-11,58.40999984741211
2018-09-12,58.150001525878906
2018-09-13,58.099998474121094
2018-09-14,57.7599983215332
2018-09-17,57.70000076293945
2018-09-18,57.47999954223633
2018-09-19,55.90999984741211
2018-09-20,55.77000045776367
2018-09-21,55.869998931884766
2018-09-24,55.650001525878906
2018-09-25,55.02000045776367
2018-09-26,54.22999954223633
2018-09-27,54.310001373291016
2018-09-28,54.91999816894531
2018-10-01,55.130001068115234
2018-10-02,55.439998626708984
2018-10-03,54.88999938964844
2018-10-04,55.25
2018-10-05,55.720001220703125
2018-10-08,56.119998931884766
2018-10-09,56.380001068115234
2018-10-10,56.11000061035156
2018-10-11,55.540000915527344
2018-10-12,55.619998931884766
2018-10-15,55.72999954223633
2018-10-16,56.13999938964844
2018-10-17,56.0099983215332
2018-10-18,56.2599983215332
2018-10-19,57.02000045776367
2018-10-22,56.810001373291016
2018-10-23,56.43000030517578
2018-10-24,57.310001373291016
2018-10-25,56.75
2018-10-26,56.119998931884766
2018-10-29,56.56999969482422
2018-10-30,56.279998779296875
2018-10-31,55.9900016784668
2018-11-01,56.11000061035156
2018-11-02,55.83000183105469
2018-11-05,56.34000015258789
2018-11-06,57.02000045776367
2018-11-07,57.18000030517578
2018-11-08,57.13999938964844
2018-11-09,58.349998474121094
2018-11-12,59.310001373291016
2018-11-13,59.72999954223633
2018-11-14,59.939998626708984
2018-11-15,60.09000015258789
2018-11-16,60.119998931884766
2018-11-19,59.849998474121094
2018-11-20,59.70000076293945
2018-11-21,58.650001525878906
2018-11-23,58.72999954223633
2018-11-26,59.529998779296875
2018-11-27,59.97999954223633
2018-11-28,59.130001068115234
2018-11-29,58.81999969482422
2018-11-30,59.369998931884766
2018-12-03,59.709999084472656
2018-12-04,60.040000915527344
2018-12-06,60.77000045776367
2018-12-07,60.310001373291016
2018-12-10,60.5099983215332
2018-12-11,60.630001068115234
2018-12-12,59.83000183105469
2018-12-13,60.22999954223633
2018-12-14,60.540000915527344
2018-12-17,58.349998474121094
2018-12-18,58.25
2018-12-19,58.08000183105469
2018-12-20,58.0099983215332
2018-12-21,58.279998779296875
2018-12-24,55.90999984741211
2018-12-26,56.58000183105469
2018-12-27,56.72999954223633
2018-12-28,56.529998779296875
2018-12-31,56.77000045776367
2019-01-02,55.880001068115234
2019-01-03,55.66999816894531
2019-01-04,55.88999938964844
2019-01-07,55.95000076293945
2019-01-08,56.61000061035156
2019-01-09,56.060001373291016
2019-01-10,56.86000061035156
2019-01-11,56.470001220703125
2019-01-14,56.040000915527344
2019-01-15,56.349998474121094
2019-01-16,56.290000915527344
2019-01-17,56.599998474121094
2019-01-18,56.65999984741211
2019-01-22,56.810001373291016
2019-01-23,56.91999816894531
2019-01-24,57.13999938964844
2019-01-25,56.779998779296875
2019-01-28,56.709999084472656
2019-01-29,56.52000045776367
2019-01-30,56.70000076293945
2019-01-31,57.31999969482422
2019-02-01,57.220001220703125
2019-02-04,57.41999816894531
2019-02-05,57.439998626708984
2019-02-06,57.209999084472656
2019-02-07,57.63999938964844
2019-02-08,58.099998474121094
2019-02-11,58.06999969482422
2019-02-12,58.29999923706055
2019-02-13,58.45000076293945
2019-02-14,58.41999816894531
2019-02-15,58.77000045776367
2019-02-19,59.290000915527344
2019-02-20,59.38999938964844
2019-02-21,59.869998931884766
2019-02-22,55.4900016784668
2019-02-25,55.63999938964844
2019-02-26,55.790000915527344
2019-02-27,55.4900016784668
2019-02-28,55.90999984741211
2019-03-01,55.029998779296875
2019-03-04,55.27000045776367
2019-03-05,55.08000183105469
2019-03-06,54.84000015258789
2019-03-07,55.38999938964844
2019-03-08,55.7599983215332
2019-03-11,56.349998474121094
2019-03-12,56.72999954223633
2019-03-13,56.93000030517578
2019-03-14,57.119998931884766
2019-03-15,57.66999816894531
2019-03-18,56.869998931884766
2019-03-19,56.43000030517578
2019-03-20,56.5
2019-03-21,57.34000015258789
2019-03-22,58.0
2019-03-25,57.79999923706055
2019-03-26,58.45000076293945
2019-03-27,58.150001525878906
2019-03-28,57.95000076293945
2019-03-29,58.04999923706055
2019-04-01,57.43000030517578
2019-04-02,57.5
2019-04-03,57.31999969482422
2019-04-04,56.56999969482422
2019-04-05,57.31999969482422
2019-04-08,57.11000061035156
2019-04-09,57.279998779296875
2019-04-10,57.15999984741211
2019-04-11,57.40999984741211
2019-04-12,57.720001220703125
2019-04-15,57.790000915527344
2019-04-16,57.06999969482422
2019-04-17,56.810001373291016
2019-04-18,56.56999969482422
2019-04-22,56.40999984741211
2019-04-23,56.54999923706055
2019-04-24,57.08000183105469
2019-04-25,57.189998626708984
2019-04-26,57.15999984741211
2019-04-29,56.970001220703125
2019-04-30,57.81999969482422
2019-05-01,57.43000030517578
2019-05-02,57.540000915527344
2019-05-03,57.599998474121094
2019-05-06,57.66999816894531
2019-05-07,57.61000061035156
2019-05-08,57.11000061035156
2019-05-09,56.939998626708984
2019-05-10,58.119998931884766
2019-05-13,58.38999938964844
2019-05-14,58.02000045776367
2019-05-15,58.209999084472656
2019-05-16,58.369998931884766
2019-05-17,58.70000076293945
2019-05-20,58.68000030517578
2019-05-21,58.7599983215332
2019-05-22,58.9900016784668
2019-05-23,59.439998626708984
2019-05-24,59.40999984741211
2019-05-28,58.779998779296875
2019-05-29,57.959999084472656
2019-05-30,57.959999084472656
2019-05-31,58.13999938964844
2019-06-03,59.02000045776367
2019-06-04,58.63999938964844
2019-06-05,59.959999084472656
2019-06-06,60.5099983215332
2019-06-07,60.47999954223633
2019-06-10,59.84000015258789
2019-06-11,59.290000915527344
2019-06-12,60.380001068115234
2019-06-13,60.16999816894531
2019-06-14,60.66999816894531
2019-06-17,60.2599983215332
2019-06-18,60.369998931884766
2019-06-19,60.900001525878906
2019-06-20,61.310001373291016
2019-06-21,61.2400016784668
2019-06-24,61.18000030517578
2019-06-25,61.34000015258789
2019-06-26,59.650001525878906
2019-06-27,60.06999969482422
2019-06-28,60.150001525878906
2019-07-01,60.15999984741211
2019-07-02,60.650001525878906
2019-07-03,61.36000061035156
2019-07-05,61.529998779296875
2019-07-08,61.290000915527344
2019-07-09,61.45000076293945
2019-07-10,61.689998626708984
2019-07-11,61.54999923706055
2019-07-12,61.13999938964844
2019-07-15,60.97999954223633
2019-07-16,61.060001373291016
2019-07-17,61.02000045776367
2019-07-18,61.5099983215332
2019-07-19,60.790000915527344
2019-07-22,60.58000183105469
2019-07-23,60.66999816894531
2019-07-24,60.72999954223633
2019-07-25,60.58000183105469
2019-07-26,60.720001220703125
2019-07-29,61.20000076293945
2019-07-30,60.81999969482422
2019-07-31,60.4900016784668
2019-08-01,60.56999969482422
2019-08-02,60.83000183105469
2019-08-05,60.40999984741211
2019-08-06,61.119998931884766
2019-08-07,61.0099983215332
2019-08-08,61.93000030517578
2019-08-09,62.43000030517578
2019-08-12,63.06999969482422
2019-08-13,63.7400016784668
2019-08-14,63.7599983215332
2019-08-15,64.30999755859375
2019-08-16,64.44999694824219
2019-08-19,65.06999969482422
2019-08-20,64.9000015258789
2019-08-21,65.13999938964844
2019-08-22,65.0999984741211
2019-08-23,64.48999786376953
2019-08-26,65.18000030517578
2019-08-27,65.29000091552734
2019-08-28,64.88999938964844
2019-08-29,64.7699966430664
2019-08-30,65.0
2019-09-03,65.55000305175781
2019-09-04,65.80000305175781
2019-09-05,64.77999877929688
2019-09-06,63.959999084472656
2019-09-09,63.970001220703125
2019-09-10,64.2699966430664
2019-09-11,65.04000091552734
2019-09-12,64.87999725341797
2019-09-13,64.20999908447266
2019-09-16,64.13999938964844
2019-09-17,64.66999816894531
2019-09-18,65.1500015258789
2019-09-19,65.55000305175781
2019-09-20,66.01000213623047
2019-09-23,66.19999694824219
2019-09-24,66.72000122070312
2019-09-25,67.23999786376953
2019-09-26,67.30999755859375
2019-09-27,66.55999755859375
2019-09-30,66.55999755859375
2019-10-01,66.27999877929688
2019-10-02,65.36000061035156
2019-10-03,65.38999938964844
2019-10-04,66.01000213623047
2019-10-07,65.62999725341797
2019-10-08,65.01000213623047
2019-10-09,63.79999923706055
2019-10-10,63.470001220703125
2019-10-11,63.95000076293945
2019-10-14,63.810001373291016
2019-10-15,63.88999938964844
2019-10-16,63.58000183105469
2019-10-17,63.15999984741211
2019-10-18,63.310001373291016
2019-10-21,63.40999984741211
2019-10-22,63.95000076293945
2019-10-23,63.47999954223633
2019-10-24,63.86000061035156
2019-10-25,63.5
2019-10-28,63.09000015258789
2019-10-29,63.54999923706055
2019-10-30,63.68000030517578
2019-10-31,63.90999984741211
2019-11-01,63.84000015258789
2019-11-04,63.119998931884766
2019-11-05,62.529998779296875
2019-11-06,62.91999816894531
2019-11-07,62.81999969482422
2019-11-08,63.060001373291016
2019-11-11,62.619998931884766
2019-11-12,63.06999969482422
2019-11-13,63.900001525878906
2019-11-14,64.61000061035156
2019-11-15,64.75
2019-11-18,65.01000213623047
2019-11-19,64.7699966430664
2019-11-20,64.9800033569336
2019-11-21,64.7300033569336
2019-11-22,64.44000244140625
2019-11-25,63.59000015258789
2019-11-26,63.5
2019-11-27,63.290000915527344
2019-11-29,63.27000045776367
2019-12-02,62.380001068115234
2019-12-03,62.560001373291016
2019-12-04,63.2599983215332
2019-12-05,63.529998779296875
2019-12-06,63.06999969482422
2019-12-09,62.2599983215332
2019-12-10,62.65999984741211
2019-12-11,62.88999938964844
2019-12-12,62.13999938964844
2019-12-13,62.7599983215332
2019-12-16,63.20000076293945
2019-12-17,63.599998474121094
2019-12-18,63.849998474121094
2019-12-19,63.70000076293945
2019-12-20,64.12000274658203
2019-12-23,63.79999923706055
2019-12-24,64.22000122070312
2019-12-26,64.05000305175781
2019-12-27,64.06999969482422
2019-12-30,64.2300033569336
2019-12-31,65.08999633789062
2020-01-02,63.439998626708984
2020-01-03,63.5
2020-01-06,63.31999969482422
2020-01-07,63.36000061035156
2020-01-08,63.47999954223633
2020-01-09,64.08000183105469
2020-01-10,64.51000213623047
2020-01-13,65.2300033569336
2020-01-14,65.56999969482422
2020-01-15,66.5999984741211
2020-01-16,67.1500015258789
2020-01-17,67.33000183105469
2020-01-21,68.66999816894531
2020-01-22,69.11000061035156
2020-01-23,70.19999694824219
2020-01-24,71.37000274658203
2020-01-27,71.75
2020-01-28,72.18000030517578
2020-01-29,72.19000244140625
2020-01-30,72.45999908447266
2020-01-31,72.16000366210938
2020-02-03,71.80999755859375
2020-02-04,71.0
2020-02-05,71.0199966430664
2020-02-06,71.31999969482422
2020-02-07,70.87000274658203
2020-02-10,70.79000091552734
2020-02-11,70.83999633789062
2020-02-12,70.73999786376953
2020-02-13,71.55000305175781
2020-02-14,72.33999633789062
2020-02-18,73.87999725341797
2020-02-19,73.91000366210938
2020-02-20,73.55999755859375
2020-02-21,72.91000366210938
2020-02-24,71.98999786376953
2020-02-25,70.0999984741211
2020-02-26,69.58000183105469
2020-02-27,67.0
2020-02-28,65.3499984741211
2020-03-02,69.38999938964844
2020-03-03,68.8499984741211
2020-03-04,73.08000183105469
2020-03-05,71.61000061035156
2020-03-06,69.83999633789062
2020-03-09,64.52999877929688
2020-03-10,66.76000213623047
2020-03-11,62.349998474121094
2020-03-12,55.959999084472656
2020-03-13,59.09000015258789
2020-03-16,49.599998474121094
2020-03-17,57.560001373291016
2020-03-18,57.709999084472656
2020-03-19,55.099998474121094
2020-03-20,47.18000030517578
2020-03-23,44.91999816894531
2020-03-24,50.709999084472656
2020-03-25,51.900001525878906
2020-03-26,58.15999984741211
2020-03-27,57.52000045776367
2020-03-30,59.11000061035156
2020-03-31,55.04999923706055
2020-04-01,51.75
2020-04-02,53.47999954223633
2020-04-03,51.79999923706055
2020-04-06,57.880001068115234
2020-04-07,57.08000183105469
2020-04-08,60.86000061035156
2020-04-09,63.099998474121094
2020-04-13,60.75
2020-04-14,62.540000915527344
2020-04-15,60.09000015258789
2020-04-16,59.959999084472656
2020-04-17,60.97999954223633
2020-04-20,59.119998931884766
2020-04-21,58.2400016784668
2020-04-22,59.54999923706055
2020-04-23,57.790000915527344
2020-04-24,58.5099983215332
2020-04-27,59.2599983215332
2020-04-28,60.09000015258789
2020-04-29,59.59000015258789
2020-04-30,58.43000030517578
2020-05-01,55.91999816894531
2020-05-04,56.630001068115234
2020-05-05,57.290000915527344
2020-05-06,54.93000030517578
2020-05-07,55.869998931884766
2020-05-08,57.5
2020-05-11,55.7599983215332
2020-05-12,56.099998474121094
2020-05-13,56.52000045776367
2020-05-14,56.68000030517578
2020-05-15,56.540000915527344
2020-05-18,58.91999816894531
2020-05-19,57.7400016784668
2020-05-20,59.11000061035156
2020-05-21,58.650001525878906
2020-05-22,60.0
2020-05-26,59.88999938964844
2020-05-27,60.93000030517578
2020-05-28,62.310001373291016
2020-05-29,61.689998626708984
2020-06-01,62.959999084472656
2020-06-02,63.040000915527344
2020-06-03,63.40999984741211
2020-06-04,62.40999984741211
2020-06-05,63.060001373291016
2020-06-08,65.0999984741211
2020-06-09,63.56999969482422
2020-06-10,63.43000030517578
2020-06-11,60.95000076293945
2020-06-12,60.08000183105469
2020-06-15,59.349998474121094
2020-06-16,59.970001220703125
2020-06-17,59.880001068115234
2020-06-18,60.560001373291016
2020-06-19,59.349998474121094
2020-06-22,59.91999816894531
2020-06-23,59.63999938964844
2020-06-24,59.040000915527344
2020-06-25,58.97999954223633
2020-06-26,58.11000061035156
2020-06-29,59.18000030517578
2020-06-30,59.290000915527344
2020-07-01,61.0099983215332
2020-07-02,61.459999084472656
2020-07-06,61.459999084472656
2020-07-07,60.84000015258789
2020-07-08,61.380001068115234
2020-07-09,60.869998931884766
2020-07-10,61.97999954223633
2020-07-13,61.599998474121094
2020-07-14,62.369998931884766
2020-07-15,61.22999954223633
2020-07-16,61.40999984741211
2020-07-17,63.220001220703125
2020-07-20,62.65999984741211
2020-07-21,62.9900016784668
2020-07-22,64.0999984741211
2020-07-23,64.37000274658203
2020-07-24,64.05999755859375
2020-07-27,63.97999954223633
2020-07-28,64.73999786376953
2020-07-29,64.33000183105469
2020-07-30,64.47000122070312
2020-07-31,64.83000183105469
2020-08-03,62.68000030517578
2020-08-04,55.400001525878906
2020-08-05,53.529998779296875
2020-08-06,54.75
2020-08-07,55.15999984741211
2020-08-10,54.060001373291016
2020-08-11,53.38999938964844
2020-08-12,53.040000915527344
2020-08-13,52.65999984741211
2020-08-14,53.56999969482422
2020-08-17,53.220001220703125
2020-08-18,52.540000915527344
2020-08-19,51.5099983215332
2020-08-20,50.779998779296875
2020-08-21,50.40999984741211
2020-08-24,50.7400016784668
2020-08-25,51.209999084472656
2020-08-26,50.52000045776367
2020-08-27,52.91999816894531
2020-08-28,52.97999954223633
2020-08-31,53.220001220703125
2020-09-01,52.65999984741211
2020-09-02,53.27000045776367
2020-09-03,52.439998626708984
2020-09-04,51.869998931884766
2020-09-08,52.11000061035156
2020-09-09,52.70000076293945
2020-09-10,52.060001373291016
2020-09-11,51.939998626708984
2020-09-14,52.790000915527344
2020-09-15,52.369998931884766
2020-09-16,52.630001068115234
2020-09-17,52.20000076293945
2020-09-18,50.939998626708984
2020-09-21,50.0099983215332
2020-09-22,50.470001220703125
2020-09-23,49.119998931884766
2020-09-24,49.18000030517578
2020-09-25,50.290000915527344
2020-09-28,50.34000015258789
2020-09-29,50.150001525878906
2020-09-30,50.81999969482422
2020-10-01,50.81999969482422
2020-10-02,51.97999954223633
2020-10-05,52.529998779296875
2020-10-06,52.40999984741211
2020-10-07,52.45000076293945
2020-10-08,53.36000061035156
2020-10-09,52.93000030517578
2020-10-12,53.439998626708984
2020-10-13,52.91999816894531
2020-10-14,53.45000076293945
2020-10-15,54.41999816894531
2020-10-16,54.91999816894531
2020-10-19,54.599998474121094
2020-10-20,55.52000045776367
2020-10-21,55.88999938964844
2020-10-22,56.58000183105469
2020-10-23,56.369998931884766
2020-10-26,55.689998626708984
2020-10-27,56.38999938964844
2020-10-28,55.369998931884766
2020-10-29,55.33000183105469
2020-10-30,55.20000076293945
2020-11-02,56.310001373291016
2020-11-03,56.97999954223633
2020-11-04,55.77000045776367
2020-11-05,55.189998626708984
2020-11-06,55.040000915527344
2020-11-09,57.9900016784668
2020-11-10,58.59000015258789
2020-11-11,57.29999923706055
2020-11-12,55.720001220703125
2020-11-13,57.11000061035156
2020-11-16,57.630001068115234
2020-11-17,56.56999969482422
2020-11-18,55.0099983215332
2020-11-19,53.689998626708984
2020-11-20,54.5099983215332
2020-11-23,54.970001220703125
2020-11-24,55.79999923706055
2020-11-25,56.18000030517578
2020-11-27,55.77000045776367
2020-11-30,55.40999984741211
2020-12-01,55.560001373291016
2020-12-02,56.099998474121094
2020-12-03,55.5
2020-12-04,54.91999816894531
2020-12-07,55.119998931884766
2020-12-08,55.459999084472656
2020-12-09,55.5
2020-12-10,55.099998474121094
2020-12-11,55.130001068115234
2020-12-14,54.40999984741211
2020-12-15,54.65999984741211
2020-12-16,53.66999816894531
2020-12-17,54.040000915527344
2020-12-18,53.349998474121094
2020-12-21,52.779998779296875
2020-12-22,52.650001525878906
2020-12-23,52.779998779296875
2020-12-24,53.43000030517578
2020-12-28,53.83000183105469
2020-12-29,53.959999084472656
2020-12-30,54.06999969482422
2020-12-31,55.5099983215332
2021-01-04,53.75
2021-01-05,53.63999938964844
2021-01-06,54.720001220703125
2021-01-07,53.22999954223633
2021-01-08,53.0
2021-01-11,52.439998626708984
2021-01-12,52.88999938964844
2021-01-13,54.2599983215332
2021-01-14,53.310001373291016
2021-01-15,54.29999923706055
2021-01-19,53.380001068115234
2021-01-20,53.88999938964844
2021-01-21,53.58000183105469
2021-01-22,53.79999923706055
2021-01-25,54.2599983215332
2021-01-26,53.540000915527344
2021-01-27,52.720001220703125
2021-01-28,53.84000015258789
2021-01-29,53.72999954223633
2021-02-01,53.7400016784668
2021-02-02,53.869998931884766
2021-02-03,53.63999938964844
2021-02-04,55.0
2021-02-05,54.88999938964844
2021-02-08,54.220001220703125
2021-02-09,54.70000076293945
2021-02-10,55.34000015258789
2021-02-11,54.720001220703125
2021-02-12,54.43000030517578
2021-02-16,54.41999816894531
2021-02-17,54.79999923706055
2021-02-18,55.220001220703125
2021-02-19,54.22999954223633
2021-02-22,52.40999984741211
2021-02-23,54.349998474121094
2021-02-24,54.54999923706055
2021-02-25,53.689998626708984
2021-02-26,53.630001068115234
2021-03-01,53.959999084472656
2021-03-02,53.61000061035156
2021-03-03,53.709999084472656
2021-03-04,54.81999969482422
2021-03-05,55.349998474121094
2021-03-08,56.27000045776367
2021-03-09,56.540000915527344
2021-03-10,56.95000076293945
2021-03-11,56.7599983215332
2021-03-12,57.68000030517578
2021-03-15,59.189998626708984
2021-03-16,59.61000061035156
2021-03-17,58.380001068115234
2021-03-18,58.63999938964844
2021-03-19,59.540000915527344
2021-03-22,58.630001068115234
2021-03-23,58.88999938964844
2021-03-24,59.040000915527344
2021-03-25,59.83000183105469
2021-03-26,59.13999938964844
2021-03-29,60.15999984741211
2021-03-30,59.369998931884766
2021-03-31,59.529998779296875
2021-04-01,59.93000030517578
2021-04-05,60.630001068115234
2021-04-06,61.15999984741211
2021-04-07,61.2599983215332
2021-04-08,60.900001525878906
2021-04-09,60.65999984741211
2021-04-12,60.93000030517578
2021-04-13,61.119998931884766
2021-04-14,61.06999969482422
2021-04-15,62.15999984741211
2021-04-16,63.290000915527344
2021-04-19,63.2400016784668
2021-04-20,64.80999755859375
2021-04-21,64.61000061035156
2021-04-22,64.22000122070312
2021-04-23,63.47999954223633
2021-04-26,63.529998779296875
2021-04-27,62.900001525878906
2021-04-28,63.2599983215332
2021-04-29,63.43000030517578
2021-04-30,63.970001220703125
2021-05-03,64.05999755859375
2021-05-04,64.25
2021-05-05,63.529998779296875
2021-05-06,63.70000076293945
2021-05-07,63.81999969482422
2021-05-10,64.04000091552734
2021-05-11,62.45000076293945
2021-05-12,61.5099983215332
2021-05-13,62.83000183105469
2021-05-14,62.66999816894531
2021-05-17,62.119998931884766
2021-05-18,62.290000915527344
2021-05-19,62.7599983215332
2021-05-20,61.900001525878906
2021-05-21,62.529998779296875
2021-05-24,62.630001068115234
2021-05-25,61.43000030517578
2021-05-26,61.380001068115234
2021-05-27,61.310001373291016
2021-05-28,61.9900016784668
2021-06-01,61.470001220703125
2021-06-02,61.99300003051758
